Biomarker,Importance
egfr,0.1768460248421988
bun_mgdl,0.17223896352482881
renal_risk_score,0.13580645188602405
serum_creatinine_mgdl,0.11605430440076314
phosphate_mgdl,0.08210023701976758
hba1c_pct,0.040305270686582184
bun_creatinine_ratio,0.03836287072047352
potassium_meql,0.03623864640843516
hemoglobin_gdl,0.03557174277875427
uacr_mg_g,0.02518270267736847
calcium_mgdl,0.025175401345888956
uacr_log,0.023604389309647034
age_years,0.02055859630994673
systolic_bp,0.018630185414560088
calcium_phosphate_product,0.0165936483619493
sex,0.01607017605997809
diabetes,0.011612150857804055
hiv_positive,0.009048237395029858
